,,theta0,theta1,logL,logL_birth,nlive
labels,,$\theta_0$,$\theta_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,
227,4.23398948297434e-25,0.9256829282441021,2.3432400708562326,-61.17851080841901,-175.64469388668664,125
228,5.036303894985578e-25,2.3937513038100526,-2.430756589738396,-60.99701486865578,-inf,125
229,5.182328168171816e-25,-2.8957911973271075,4.188459701142129,-60.96046474927212,-295.6853911636637,125
230,5.77727618147149e-25,-3.101315519520979,-3.9716951264500646,-60.8438186655042,-142.2382443638899,125
231,1.5889985128812206e-24,3.5243724402890475,-3.3129037432754385,-59.82409377392154,-inf,125
232,2.3357997598412583e-24,2.5206996601882636,3.4784340373094995,-59.43087521389723,-61.17851080841901,125
233,5.937363331414401e-24,-3.8424565099975005,-1.853932123723986,-58.4899962350651,-97.20541320995807,125
234,1.5459166433533623e-23,1.0636680035038388,3.0388814351061217,-57.52509109256301,-92.45853640869912,125
235,2.0483304586030314e-23,2.0389985590909205,3.421834944277652,-57.23571490310107,-814.2337702760956,125
236,8.000780597241135e-23,-0.9895295880377208,3.3789807321792917,-55.86523267277744,-74.22864079179737,125
237,1.0103855022222146e-22,-3.681164490305327,2.2256057509574028,-55.62388657831073,-65.21538382506178,125
238,1.1138655225886556e-22,4.305329618782826,-0.49796199520265993,-55.51841393365068,-120.62582086478311,125
239,1.3083985094321942e-22,-3.597721341498526,2.083839235015624,-55.34947830495875,-65.26379510078326,125
240,1.6111626590451238e-22,-2.592000278854787,-3.139040628911304,-55.1333579459137,-159.66923689355724,125
241,1.6254739161946506e-22,1.076336676162609,2.9447768873675155,-55.116546429114415,-145.30002841463926,125
242,2.98741202137634e-22,4.070269467103829,-3.147098087812335,-54.4999702055509,-203.8130610765701,125
243,3.6928064211196897e-22,1.5397659644869464,3.2374682481340162,-54.28002278710255,-57.52509109256301,125
244,3.9484173264549723e-22,-1.2358359986683993,2.4528184728140836,-54.20512651239109,-64.88310138589136,125
245,4.298383785123894e-22,-3.146313089531534,-3.937762811428284,-54.112234076395396,-218.81711450535676,125
